,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1932-04-01,314838.3,307635.219,110658.632,130.9,214.7,,99.1,113,120.9,75,65,93.1,76.2,102.1,0.58,1.68,3.8,0.05,2.84,1.47,3,1.32,0,2.11,1.98,2.07,1,null,null,3.03,1.73,0.27,0.57
1932-05-01,161992.451,139483.173,45308,10.9,23.4,,14.9,10.7,13.8,14.9,13.2,21.6,18,12.1,4.15,0.92,5.87,0,2.3,2.66,3.19,2.2,0.0005,3.82,3.34,0,0.37,null,null,2.43,2.16,0.0005,0.38
1932-06-01,250242.365,241911.663,128853.729,118.2,305.5,,84.6,111.7,114.5,40.9,44.9,77.5,50.2,68.7,9.52,5.74,2,0.23,1.86,4.77,7.91,3.27,0.02,1.76,6.02,2.93,0.67,0.24,null,5.35,6.41,0.05,0.08
1932-07-01,341844.722,323523.668,154985.794,72.5,125.7,,59.1,63.8,76.2,30.8,30.3,50,39.1,35.1,null,4.1,2.27,0.11,2.47,2.63,0.57,2.35,0,0.85,3.34,0.81,1.43,null,4.14,null,0.65,5.64,0
1932-08-01,542660.102,563774.301,288287.538,145.6,234.4,,124,120.3,114.6,78.3,29.4,75,64.1,84.6,8.07,0.05,1.23,0.1,4.57,1.27,2.48,2.28,0,0.55,1.18,0.32,1.57,0.02,null,1.1,2.77,2.79,0
1932-09-01,796521.422,700692.443,252892.68,43.2,84.3,,34,74.2,48,23.4,21.9,45.7,27.1,17.8,6.7,0.85,2.72,0.34,3.17,6.72,0.69,2.34,0.05,0.82,1.8,0.25,1.72,0,null,4.49,3.41,1.01,0.7
1932-10-01,242080.947,242709.667,150378.724,47.2,97.8,,33.8,43.9,43.8,28.3,28.8,16.6,26.6,30.3,2.29,1.31,0.67,1.73,4.72,4.41,1.9,0.57,0.02,5.11,2.95,0.0005,0.37,0.13,null,2.33,0.64,1,0.0005
1932-11-01,157782.631,147951.718,90917.842,34.9,68.1,,41.9,41.7,35.4,38.2,43.9,68.7,54.7,19.3,4.84,2.4,0.3,0,2.87,0.99,0.16,0.03,0,3.56,2.18,0,0,1,2.92,4.07,0,0,0
1932-12-01,146816.941,147601.648,45782.656,41.2,58.4,,21.6,42,41.6,10.7,9.2,28,5.4,12.7,0.56,9.55,3.41,1.84,4.8,6.56,4.6,0.7,0.01,4.52,7.58,0.38,1.02,3.76,null,8.77,0.74,0.53,0.76
1933-01-01,170359.996,150235.939,19509,34.1,43.4,,26.5,29.4,43,72.5,77.5,55.6,71.2,30.6,2.72,2.9,2.64,2.31,1.65,3.55,0.37,0.0005,0.1,3.15,3.3,0.15,1.4,9.6,null,1.81,0.59,0.25,9.77
1933-02-01,151650.025,134994.586,9764.297,0,1.3,,0,0.8,0,0,0,0,0,0,4.62,7.54,2.04,0.15,3.68,2.52,1.76,0.26,0,2.15,0.68,0.1,0.14,null,null,8.62,0.42,1.23,0
1933-03-01,156701.961,138145.653,9015.734,25.2,32.4,,20.2,21.5,16.3,30.1,12.8,21.6,12.4,6.4,5.7,6.42,3.71,0,1.77,3.68,1.01,0,0,1.56,2.36,0.3,0.12,5.6,null,6.91,1.15,0.1,0.2
1933-04-01,99943.424,93216.959,13566.297,35.6,65.7,,21.1,50.1,30.7,25.6,21.5,37.2,30,22.1,9.2,3.31,2.09,1.11,2.25,2.27,1.03,null,0,4.63,5.73,3.21,1.26,0.93,1.19,4.6,0,0.8,0.4
1933-05-01,75926.552,66795.688,30711.886,86.9,171.6,,50.6,84.6,62.6,21.6,24.7,46.1,27.5,42.2,0.85,5.23,8.27,0.0005,5.05,7.64,1.81,1.35,0.0005,4.56,11.38,1.28,1.33,2.48,4.21,5.39,1.17,0.83,0.08
1933-06-01,103313.25,86884.613,57223.094,57.7,88.8,,42.4,39.4,45.4,45.5,55.6,55,35,54.9,3.14,1.48,0,0.23,2.85,0.75,0.08,1.3,0.0005,2.02,0.47,0.28,0.24,0.47,null,1.12,0.21,1.47,0.37
1933-07-01,213552.875,207715.904,156671.473,100.7,192.2,,91.4,116.2,100.6,71,52.7,71.7,77,57.8,8.42,8.26,3.18,0.3,3.2,1.78,2.73,2.05,0.01,4.25,2.99,2.71,1.39,0.02,5.75,5.1,2.74,5.11,0
1933-08-01,165087.736,150225.837,95147.61,44.9,92.4,,30.7,47.7,41.2,14.1,17.9,32.6,17.3,2.1,8.98,2.23,1.25,0.38,5.57,4.37,null,8.38,0.07,7.48,5.21,2.11,0.85,0,2.92,2.14,9.37,2.1,0.06
1933-09-01,454653.745,409726.277,308929.031,125.9,241.1,,118.1,121.9,110.8,84.1,50.7,88,90.9,62.2,7.08,1.19,1.4,1.62,1.79,3.66,2.02,0.04,0,2.39,6.69,0.75,2.61,0.0005,null,1.6,1.31,3.04,0
1933-10-01,198260.29,189283.379,129401.962,22.3,63.5,,36.2,51.1,18.8,22.3,19.4,37,33.7,27.7,2.48,2.28,1.79,0.38,1.37,3.39,3.22,0.24,0.0005,1.3,4.18,0,1.52,2.05,2.48,1.62,0.37,2.99,0.65
1933-11-01,141549.741,133320.294,47639.46,57.8,52.9,,85.1,37.8,34.9,44.8,55.8,27,51.7,46.7,1.34,0.82,2.16,0.62,0.63,2.06,1.44,1.05,0.08,1.48,1.06,0.12,1.22,0.06,0.75,3.22,0.14,1.1,0.02
1933-12-01,180729.864,175397.704,77600.777,136.6,126.5,,74.3,87.4,87.3,63.8,55.4,99.2,84.8,37,0.86,8.86,4.52,0.0005,1.23,5.21,1.63,0,0.0005,2.38,2.58,0.72,0.55,6.83,0.68,7.98,0,0.3,5.44
1934-01-01,437935.935,509616.59,90432.706,125.4,179.1,,130.6,177,152.5,73.4,57.1,102.3,70.8,140.4,1.16,3.49,2.81,0.4,1.31,1.98,0.83,0.0005,0.0005,0.97,1.62,0,0.27,3.4,2.04,3.82,0,0.39,3.92
1934-02-01,258023.095,289733.325,33535.285,135.6,134.4,,95.6,72.8,104.4,157.7,94.4,152.5,100.8,78.2,2.68,3.51,2.4,0.99,3.12,1.09,0.85,0.15,0.0005,3.7,1.39,0.69,1.41,6.06,null,2.3,0.0005,0.26,3.2
1934-03-01,253186.881,281499.51,21155.563,16,17.6,,10.4,13,15.5,18.7,20.8,6.1,20.8,6.4,3.86,10.11,5.48,0.1,5.44,4.92,1.46,0.08,0.0005,3.09,1.78,0.83,0.05,0.63,6,7.45,1.86,0.41,0.17
1934-04-01,129679.023,127569.604,35852.188,79.8,161.6,,68.1,95.3,81.4,44,38,47.9,57.9,2.8,4.07,4.87,4.38,0.07,3.22,3.14,1.01,0.01,0,1.63,1.64,0.45,0.66,0.2,3.53,1.33,1.27,0.71,0
1934-05-01,167383.252,175232.452,26599.281,0,0,,0,0,0,0,0,0,0,0,5.56,2.82,0.36,0.1,2.32,2.09,4,0.53,0.0005,7.39,2.3,0.69,0.93,0.97,6.86,2.14,4.86,0.65,0
1934-06-01,192346.85,200597.579,29136.406,69.7,104.3,,61.7,77.3,77.3,54,53.1,63.6,61.6,50,8.74,1.4,0,0.03,2.51,2.05,2.67,0.91,0.0005,2.21,1.69,1,0.05,1.65,null,6.81,1.02,0.26,0.34
1934-07-01,415925.589,480865.648,142767.51,83.2,170.5,,78.5,78.4,92.7,73.3,71.8,110.6,72.3,58.4,null,2.16,0.49,0.11,8.38,1.97,0.0005,1.34,0.64,7.87,0.54,1.14,0.25,0,5.2,2.42,1.41,1.34,0
1934-08-01,1131713.105,1135800.273,225713.717,132,209.4,,110.4,135.5,130.3,80.8,63.1,92.9,61.6,64.5,4.49,0.31,0.77,1.07,1.23,1.48,3.49,1.83,0.0005,3.41,1.9,0.34,0.57,0.1,3.28,2.41,3.28,5.95,0
1934-09-01,655170.107,578256.141,179360.844,31.2,73.8,,25.9,48.7,55.7,15.5,22.8,63.5,27.3,10.2,1.22,3.12,4.25,0.66,3.78,9.01,1.87,0.03,0.0005,9.66,7.1,1.2,0.28,1.08,1.8,2.86,0.75,0.75,0.04
1934-10-01,1090414.952,1055447.668,407183.521,180.5,321.7,,144.4,194,140.6,80.7,83.9,118.9,87.3,72.7,null,0,0.39,0,2.94,0.6,4.45,0.49,0.55,0.46,1.92,0,0.15,2.22,4.87,0.98,0.87,0,2.09
1934-11-01,953824.129,750146.596,256154.023,147,264.9,,133.4,164.4,170.8,125.4,123.7,127.6,132.9,72.6,0.77,7.3,6.8,0.63,3.22,4.51,0.55,0.73,0.0005,3.52,7.18,0.28,1.28,6.07,1.25,10.97,1.72,0.95,3.15
1934-12-01,578767.89,477986.572,183847.688,38.3,70.4,,22.6,36.9,46.2,32,26.5,17.1,30.3,20.9,1.77,5.68,0.63,1.71,1.78,2.07,0.3,0.03,0.34,1.61,1.38,0,1.17,4.55,2.85,4.85,0.04,0.35,4.25
1935-01-01,256520.4,243089.479,68560.415,51.3,140.1,,59.8,62.2,83.5,34,34.1,68.9,29.2,15.7,1.51,5.66,3.9,0.95,3.36,5.05,0.22,0.34,0.27,3.66,2.47,0.0005,2.62,10.05,1.46,9.21,0.0005,0.65,4.79
1935-02-01,166627.78,167862.381,42367.406,71.9,114.7,,66.1,88.8,71.2,54.9,56.8,46.8,72,43.7,2.97,3.42,3.11,3.18,2.45,1.58,0.94,0,null,2.9,1.61,0.06,0.92,2.31,null,4.28,0.0005,1.47,0.8
1935-03-01,158876.763,188785.144,34313.408,33.3,81.5,,13,35.3,21.1,5.7,3.3,10.2,5.3,8.4,0.68,2.38,2.36,1.39,5.51,11.43,1.57,0.56,0.09,4.32,7.42,0.35,1.42,4.86,3.72,5.29,0.3,1.15,3.33
1935-04-01,441836.884,403504.191,119865.012,145,180.5,,100.5,148.4,121,96.7,97,76.8,94.6,116.5,1.99,7.41,4.52,0.09,3.42,4.29,2.45,0.02,0,4.34,4.09,0.45,0.78,11.99,4.32,4.85,0,0.57,3.62
1935-05-01,278482.091,263173.707,103587.644,9.1,72.4,,9.9,15.5,11.6,1.3,3.8,0.3,1,0,2.88,null,9.33,0.14,null,10.05,10.38,3.02,0.1,3.39,5.2,null,0.75,0.28,2.48,5.67,2.72,0.98,0.07
1935-06-01,142269.108,144605.977,64589.875,27.3,72.3,,25.3,34,26.6,13.5,9.6,9.1,14.3,24.5,5.15,5.8,12.09,0,3.3,10.89,3.08,0.64,0,5.92,14.24,3.53,0,0,0.52,5.65,1.99,0,0
1935-07-01,219579.201,185095.896,126500.229,97.6,175.7,,87.2,112.4,76.7,60.7,58,74.5,83.4,115.2,12.45,1.01,0.78,0.93,4.61,0.45,1.57,2.42,0.0005,8.38,0.08,0.1,1.31,0.34,5.44,0.47,2.02,1.34,0.03
1935-08-01,700634.045,577946.113,293659.961,84.6,260.3,,53,79.2,77.8,28.9,26.7,32.7,34.7,42.1,11.49,0.86,0.88,1.27,3.04,1.74,1.35,3.64,0.0005,4.43,3.63,0.41,1.21,0.5,10.71,1.65,4.88,7.91,0.32
1935-09-01,443152.208,376682.104,246443.504,75.1,142.4,,74.5,81.9,81.6,53.1,45,36.1,51,54.8,8.53,2.86,7.99,1.3,1.52,0.88,1.42,0.65,0.0005,6.44,4.08,2.19,1.75,0.04,5.09,2.02,0.77,1.75,0.0005
1935-10-01,611466.332,458943.45,240153.359,113.9,234.6,,99.3,92.6,90.3,49.5,35,54.8,18.8,77.7,0.38,3.62,5.49,0.13,1.95,6.68,1.9,0.27,0.0005,1.3,6.78,0.02,0.65,1.89,0.61,4.13,0.0005,0,0.74
1935-11-01,246154.632,223418.683,114365.216,20.2,44.7,,12.2,25.3,27.2,4.3,9.7,8.2,8.1,0,0.8,6.11,2.31,0.56,2.92,4.33,3.04,1.07,0.0005,3.07,2.92,0.3,0.18,1.69,1.16,4.21,1.62,0.62,0.77
1935-12-01,184209.489,182539.384,59143.594,23.1,24.3,,24.7,37.4,26,29.5,26.9,31.6,39.9,26.2,null,1.96,2.11,0.39,1.02,5.75,1.84,0.24,0.11,2.03,1.53,0.32,0.71,2.82,2.3,0.89,0.2,1.4,1.96
1936-01-01,185407.903,179693.8,35115.75,56.9,73.5,,109.4,73.3,67.3,63,68.3,87.4,32.5,61.7,3.08,1.3,0.7,0.8,7.31,1.17,0.3,0.63,0,7.16,0.24,0.27,0.09,7.68,9.53,3.69,1.04,1.55,0.19
1936-02-01,180597.424,170090.3,28138.219,89.9,106,,105.7,113.9,111.8,75.1,64.2,74.9,110,114.6,4.97,1.56,0.95,1.01,2.81,1.86,0,0.07,0.13,3.43,1.07,0.02,1.95,19.53,null,2.23,0.2,1.27,13.29
1936-03-01,178750.66,157253.4,35940.313,41.7,74.6,,23.9,67.3,44.1,20,24.4,59.2,28.1,22.6,2.11,3.31,0.37,0.5,4.97,1.41,0.18,0,0.03,4.04,1.1,0.15,0.57,2,6.29,2.89,0.0005,0.51,2.31
1936-04-01,152990.293,132516.3,41662.781,65,129.8,,46.9,67.4,55.6,31,27.4,33.7,36.8,38.1,0.24,1.82,1.39,0.14,4.41,1.97,1.1,0.01,0,4.2,3.96,0.3,0.25,2.57,10.83,2.47,0.0005,0.3,0.75
1936-05-01,100029.05,75987.4,31800.625,25.9,43,,6.7,17.3,18.3,3.6,10.7,20.4,5.8,2.3,2.54,3.79,6.22,0.0005,3.5,2.18,3.19,1.74,0,1.41,2.74,null,0.23,0.3,0,1.55,3.84,0.65,0.05
1936-06-01,172689.746,142037.4,54267.43,137,124.3,,155,125.7,131,119.9,115.3,109.8,133.6,127.5,1.55,1.54,0.0005,0.0005,0.79,1.44,0.09,2.01,0.0005,2.03,1.8,0.98,0.48,1.63,3.98,1.84,2.12,1.05,0.0005
1936-07-01,592640.125,427925.8,220959.985,157.1,276.5,,134.5,144.7,133.6,148.8,113.2,122.6,119.6,113.8,5.09,4.49,3.32,2.49,5.46,2.02,0,4.4,0.56,3.47,1.47,2.36,1.31,0.66,2.67,3.24,3.84,2.18,0.04
1936-08-01,1067932.852,836922.3,374876.48,81.5,222,,61.3,97.6,76.3,30.9,27.2,48.2,15.7,44.2,10.84,0.14,0.4,0.32,null,0.64,0.18,2.02,1.35,2.27,0.63,0.85,1.77,0.1,3.73,0.55,1,2.96,0.25
1936-09-01,461787.148,378777.1,195077.629,23.3,53.7,,21.8,28.8,27.9,22.1,18.1,25.4,17.7,18,2.41,1.61,16.89,0.43,7.63,null,8.42,1.42,0,0.81,9.01,1.71,0.99,0.29,6.58,0.66,5.31,2.37,0
1936-10-01,209233.593,167020.4,118781.235,49.5,73.5,,51.1,57.4,60.3,37.8,33.9,41.6,35.8,37.1,7.62,4.45,3.83,0.13,4.07,6.45,1.12,0.2,0.36,1.05,4.73,0.78,1.62,1.39,2.25,4.09,0.86,0.25,3.19
1936-11-01,179289.44,144780.8,66754.962,24.4,31.2,,8.5,19.1,17.1,12.1,12.4,7.6,12.4,1.8,0.28,4.85,1.97,0.35,1.22,2.76,0.2,0,0,0.97,2.27,0,0.26,0.0005,1.7,3.49,0.1,0.85,0
1936-12-01,240324.409,199237,92708.025,107.4,167.4,,141.2,147.7,123.9,125.6,122.9,113.1,138.1,90.7,4.03,8.5,6.3,2.12,3.58,null,0.36,0.62,0.65,4.56,3.03,0.37,2.32,10.6,6.33,6.93,0.27,0.51,7.76
1937-01-01,253472.476,221607.2,115414.658,116.2,174.1,,159.9,117.3,109.6,70.8,65.6,47.4,76.9,90.7,2.37,11.78,3.09,0.83,8.12,null,0.7,0.06,0.22,9.45,5.52,0.07,0.73,5.66,6.34,13.24,0.21,2.51,3.61
1937-02-01,159376.91,141914.2,39974.656,0.5,6.1,,0,0,15.2,0,0,0,6.3,0,6.05,2.22,0.69,0.76,3.17,1.2,0.1,0.08,0.08,1.69,1.63,0.07,2.5,12.88,4.75,2.5,0.25,0.75,8.56
1937-03-01,171574.938,150549.7,33863.063,125.9,83.3,,29.3,73.5,49,58,49.5,62,32.8,25.4,3.45,4.03,5,1.58,0.65,3.09,1.47,1.23,0.27,1.4,2.36,0.69,3.2,5.21,3.44,3.5,1.16,0.89,5.71
1937-04-01,138863.214,114112.8,21782.094,19.5,34.3,,8.9,22.1,16,18,21.8,19.1,22.3,8.4,5.57,2.15,1.36,0.0005,3.24,2.75,1.76,0.88,0.23,5.42,4.12,0.99,0.0005,2.73,6.97,3.73,0.45,0.22,0.11
1937-05-01,103756.384,82774.5,32189.688,33,90.9,,24.6,42.6,30,25,26.2,29.7,23.1,25.9,0.9,1.71,2.8,0.08,2.41,null,3.3,5.72,0.0005,3.78,2.94,0.72,0.77,0.08,2.84,2.59,5.25,1.16,0.19
1937-06-01,90476.918,64042.6,35514.438,34.2,42.6,,31.9,34.7,27.7,24.9,24.7,31.9,17.1,25.4,7.43,3.42,4.61,0.0005,4.17,null,2.55,2.42,0.0005,6.3,3.85,0.99,0.0005,0.08,5.15,2.73,1.29,null,0
1937-07-01,102824.097,80748.6,34511.5,26.4,36.3,,25.4,33.7,19.5,13.4,11.9,11.3,12.2,13,6.84,8.16,2.31,0.49,3.58,null,0.51,0.87,0.0005,5.48,5.14,null,1.72,0.23,1.6,4.11,1.58,2.17,0.0005
1937-08-01,140709.276,117242.8,55121.377,87.1,128.8,,71.9,90.5,82.5,55.2,42.7,53,49.9,45.2,8.29,2.8,0.71,0.05,5.18,null,8.23,null,0,7.69,1.14,0.09,1.51,0,14.28,5.15,0.7,1.7,0
1937-09-01,347178.054,319789.2,263146.27,113.3,207.1,,81.4,124.8,110.8,65.5,41.8,71.1,56.1,37.3,8.51,5.31,1.55,1.17,2.68,null,3.48,2.09,0.0005,1.5,8.66,0.53,1.17,0,0.86,2.39,4.74,1.91,0.0005
1937-10-01,345145.156,318089.2,118169.633,73.6,100,,64.5,98.7,66.1,59.6,47.1,87.1,36,86.1,3.96,5.65,3.79,0.0005,5.3,null,2.56,1.84,0.0005,4.98,1.91,null,0.32,0.64,3.42,4.6,1.2,0.69,0.21
1937-11-01,154473.49,153911.3,63209.746,26.3,61.1,,24.1,30,22.2,21.3,28.3,15.6,69.3,17.5,3.14,8.91,3.29,0,0.45,null,0.4,0.06,0.0005,2.46,1.33,0.2,0.22,3.88,1.32,5.27,0,0,0
1937-12-01,147645.964,145958.6,35805.688,49.3,81.2,,47.5,72.4,50.7,42.6,44.2,26.1,37.8,58.2,0.43,7.92,8.24,0.41,1.92,null,0.2,0.59,0.09,0.85,2.14,null,1.16,12.12,3.04,3.44,0.6,0.31,5.92
1938-01-01,153886.321,150566.2,22366.781,33.5,64.6,,60,27.8,34.1,40.3,25.6,34.1,32.3,21.8,3.05,6.67,6.33,0.52,2.46,null,0.45,null,0.03,2.92,2.53,0.0005,1.37,5.33,1.28,7.13,0.6,0.25,1.27
1938-02-01,140488.706,141361.7,15905.234,46,73.4,,33.3,65.5,46.4,36,30.1,18,40.2,26.9,1.2,3.15,5.57,1.55,2.94,null,2.53,1.3,0.36,1.68,4.14,0.4,1.99,16.64,0.69,2.79,0.91,0.86,10.61
1938-03-01,174406.911,161231.6,12176.578,16.7,12.4,,15.7,10.4,19.3,4.1,1.8,9.1,4.3,0,1.74,4.48,4.39,0.89,5.56,null,2.64,0.19,0.55,3.19,4.8,0.99,2.61,13.35,2.31,6.24,1,1.87,13.24
1938-04-01,147616.72,135763.7,14271.039,66.5,93.2,,41.5,52.9,49,30.9,34,31.8,41.2,33.5,1.15,5.43,8.17,0.0005,2.42,null,1.97,null,0.16,2.8,2.25,0.27,0.64,4.66,8.25,4.4,0.25,0.44,2.21
1938-05-01,83711.476,71005.1,15278.828,13.4,27.5,,11.1,20.3,10.4,12.8,8.4,23.8,5.8,11.2,4.99,2.84,3.22,0.0005,4.48,null,8.99,2.35,0.14,4.44,7.58,3.22,0.38,1.01,3.33,2.33,0.27,0.33,0.15
1938-06-01,74072.213,74785.5,29332.063,88.5,128.4,,64,88.9,81.2,38.3,35.7,72.6,44.3,58.4,4.78,3.12,11.89,0.28,4.07,null,2.92,1.48,0.0005,12.09,5.9,0.91,2.06,0.78,5.29,6.19,4,0.46,0.09
1938-07-01,93081.199,90790.6,42394.25,57.7,80.9,,49.4,56.1,70.5,53.3,49.3,68.4,69.7,48.5,7.13,2.55,1.88,0.25,6.29,null,0.92,0.99,0.27,11.62,1.78,2.67,0.28,1.3,3.9,4.92,2.92,1.29,0
1938-08-01,146302.761,151117.7,87964.161,111.6,116.8,,74.6,92.8,84.5,105,102.7,55.7,79.6,76.7,5.07,2.79,1.27,0.97,2.48,null,0.06,0.24,0.43,2.18,1.14,1.44,0.74,0.0005,1.54,3.99,0.4,3.62,0
1938-09-01,142300.625,137305.4,93975.991,14,29,,13,23.3,12.7,9.7,12,12.8,4.1,6.9,4.56,0.85,0.53,0.0005,1.91,null,2.83,2.06,0.38,6.59,0.53,1.81,2.24,1.38,3.53,1.11,3.48,1.37,0.26
1938-10-01,120425.708,127352.6,36209.469,71.1,77.2,,62,61.2,62.3,65.9,64.5,84.9,58.2,33.5,1.04,0.95,0.16,0.0005,0.12,0.23,0.83,1.28,0.03,2.08,1.1,0.14,0.48,3.73,0.78,0.53,3.06,0.0005,0.03
1938-11-01,109423.192,116832.5,23873.703,32.2,44.8,,49.3,43.7,20.3,22.6,13.8,29.4,22.9,14.2,0.29,7.08,1.36,0.0005,4.44,6.16,2.97,0.34,0.0005,3.32,3.39,0.71,0.2,1.84,3.99,2.58,0.03,0.1,0.04
1938-12-01,104263.844,105008.8,9179.484,0,13.7,,0,2,3.3,0,0,2.3,0,0,1.86,4.5,1.96,1.14,0.92,null,0.15,0.55,1.51,1.87,1.12,0.13,1.77,1.6,3.51,3.28,0.05,0.28,5.77
1939-01-01,107623.065,110693.906,4817.309,8.1,14.7,,4.3,13.8,5.8,8.1,11.7,0.8,0.5,0,1.68,7.32,3.94,0.18,2.45,null,4.65,null,0.33,3.46,2.27,1.06,1.43,4.56,4.01,10.24,1.49,0.56,2.64
1939-02-01,105692.261,94912.125,8408.875,99.5,177.4,,128.4,97.3,87.7,111.8,98.1,36.5,116.3,126.7,3.5,12.68,5.45,0.89,4.5,null,0.2,0.22,0.23,2.98,3,1.56,1.07,3.88,9.84,9.89,0.2,0.65,1.34
1939-03-01,276511.551,131016.531,59513.008,181.9,196.1,,207.9,201.4,131.3,132.8,128.3,164.6,96.3,126.5,1.09,4.96,1.09,0.15,2.53,3.03,1.83,0.34,0.51,4.31,1.98,0.5,1.07,3.78,4.95,6.08,0.65,0.48,2.85
1939-04-01,141722.105,104504.646,60643.477,113.1,140.9,,120.8,125.7,77.3,95,93.1,106.5,94.7,138.9,4.76,4.54,3.09,0.17,2.43,null,1.12,1.04,0.69,3.54,2.22,0.26,0.28,0.74,4.11,5.3,0.98,1.47,0.39
1939-05-01,94872.83,84674.027,47808.531,20.4,46.1,,23.4,88.9,21.1,34.3,13,19.1,16.3,11.2,1.74,2.9,4.84,0,1.35,null,2.77,2.48,0.14,1.46,8.76,1.33,0.35,1.52,3.7,1.55,1,0.11,0.2
1939-06-01,292710.364,280974.823,223235.498,147.8,279.4,,139,187.2,145.4,79.5,74.3,79.3,88.8,88.4,7.06,1.45,9.4,0,1.69,4.37,5.04,0.3,0,7.57,5.5,0.86,0.0005,0.11,null,6.5,2.88,0,0
1939-07-01,612106.774,406042.229,212336.239,50.8,54.2,,30.4,47.3,36.9,26.3,18.9,26,26.5,31.8,9.3,4.64,0.98,0.71,5.15,1.44,0.17,null,0.0005,8.79,2.13,null,0.46,0,5.46,0.74,2.96,1.21,0.0005
1939-08-01,1533871.292,1133168.903,402916.73,227.6,341,,188.3,209.5,212.1,119,110.2,125.6,119.1,131.3,8.36,1.09,0.81,1.18,2.12,2.15,1.8,1.88,null,8.67,2.69,1.47,0.35,0.05,3.79,1,3.24,2.2,0.0005
1939-09-01,938464.656,734209.666,314612.43,62,98.2,,25.5,42.3,43.3,36.6,35.2,19.2,34,21.8,3.9,1.51,0.06,5.41,0.79,0.89,0.13,1.3,1.57,0.41,0.4,0.18,2.56,2.25,2.59,3.67,0.9,1.87,1.18
1939-10-01,537302.273,462590.744,324019.516,93.3,141.8,,72.6,100.3,83.9,52.2,57.5,53.1,49.3,62.7,0.16,1.13,1.71,0.02,0.72,2.3,2.09,0.81,0.0005,7.33,2.64,0.12,0.93,3.64,0.12,0.1,1.04,0.75,0.15
1939-11-01,410706.78,325637.381,189179.018,101.1,162.4,,99.8,99.5,78,76.6,86.1,97.4,79.2,103.6,1.42,5.41,3.67,0.75,0.77,null,0.17,0.0005,0.01,2.86,3.28,0.71,0.82,0.17,0.88,2.83,0.38,0.49,0.2
1939-12-01,175822.854,149537.278,63006.695,14.7,11.7,,4.8,10.2,9.6,4.9,4.1,26.3,7.6,2.5,1.8,4.46,2.02,0.0005,2.15,1.54,0.89,0.96,0.04,1.42,1.67,0.74,0.09,0.92,3.24,3.55,1.17,0.32,1.24
1940-01-01,152480.534,137060.931,33894.843,37.3,55.4,,19.9,39.9,62.7,20.6,11,9.2,11.4,8.1,2.53,1.39,0.97,0.04,1.6,0.66,0.71,0.18,0.03,1.95,0.95,0.46,2.16,16.7,4,2.16,0.36,0.5,4.33
1940-02-01,134655.836,119321.026,14760.141,6.6,17.2,,8.1,10.9,9.7,6.1,4.3,0,3.3,8.6,6.56,3.49,3.21,0.61,1.9,2.69,1.96,0.51,1.2,2.37,1.07,0.33,2.28,11.23,4.25,5.17,0.35,0.8,6.18
1940-03-01,161953.266,134487.287,9942.734,1.3,4.8,,3.6,3.8,9.7,0,0,1.8,0.3,0,1.61,3.28,0.52,0.0005,2.92,1.95,0,0.94,0.0005,2.07,1.43,1.41,0.23,6.69,3.48,3.95,0.0005,0.11,1.43
1940-04-01,168113.966,137334.265,42279.355,168,213.2,,137.5,200.2,140.9,106.3,87.9,131.6,116.1,115.1,2.7,5.03,7.99,0.09,2.47,7.07,4.49,0.71,0.58,4.24,6.06,1.82,0.97,null,2.48,5.82,1.5,0.45,1.57
1940-05-01,114964.458,82997.987,47187,31.7,58.4,,27,33.6,25.7,16.5,18.1,30,8.9,27.2,2.12,3.4,2.24,0.01,1.58,2.34,1.24,2.44,0.0005,2.94,0.97,3.03,0.6,0.22,1.66,2.03,2.58,1,null
1940-06-01,112220.431,90281.491,56537.866,43.6,59,,31,39.9,51.1,11.4,9.1,12.5,12.7,7.9,5.69,5,8.98,0.0005,4.82,5.63,0.58,0.28,0,4.07,4.35,1.32,0.25,null,4.4,8.73,1.02,0.74,null
1940-07-01,101928.719,74981.787,42597.25,28.2,56.4,,28.3,34.2,29.4,21.7,18,21.1,14.5,17.5,6.6,9.91,4.28,0.66,4.31,1.9,2.27,0.79,0,6.17,2.38,0.79,0.14,0,2.76,3.98,1.03,2.34,null
1940-08-01,119366.872,97905.515,68905.531,41.4,50,,41.4,57.2,38.1,23.8,16.8,13.7,13.2,18.3,9.04,3.71,1.7,0.48,9.14,6.76,1.58,3.54,0,12.92,8.28,2.32,0.82,0.0005,10.22,3.59,1.63,3.14,0
1940-09-01,130286.873,118615.293,87239.954,90.2,108.7,,65.9,97.1,73.9,35.1,37.2,61,39.2,25.7,3.72,0.98,0.15,1.43,0.4,1.56,2.69,0.32,0.02,1.38,4.07,1.73,3.45,0.13,0.54,2.21,0.33,3.29,null
1940-10-01,127230.125,114239.184,49129.849,0,1.3,,0.8,0.8,0.8,0,0.8,7.4,0,0,0,2.37,1.67,1.3,2.33,2.13,1.36,0.02,0.0005,2.02,2.32,0.1,2.45,1.86,0.68,0.93,0.63,0.34,1.26
