,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1903-01-01,17280.914,22848.672,,12.7,51.3,,6.9,15.8,,6.6,6.4,26.7,9.7,null,,,,,,,,,,,,,,,,,,,
1903-02-01,7512.5,9847.078,,6.8,17.3,,14.2,2.6,,1.8,6.6,9.9,2.8,null,,,,,,,,,,,,,,,,,,,
1903-03-01,25274.557,35817.194,,76.5,117,,71,108.3,,111.5,34.1,75.5,87.3,null,,,,,,,,,,,,,,,,,,,
1903-04-01,103064.734,93342.711,,138.2,161.3,,134.1,146.2,,83.8,87.4,93.8,78.6,null,,,,,,,,,,,,,,,,,,,
1903-05-01,81637.357,101188.429,,66.8,76.8,,38.5,53.2,,22.1,34,54.1,30.5,null,,,,,,,,,,,,,,,,,,,
1903-06-01,164309.573,184007.073,,91,201.4,,60,82,,48,44,54.8,41.1,null,,,,,,,,,,,,,,,,,,,
1903-07-01,373891.994,388709.698,,108.9,214.2,,78.9,123.5,,59.4,66.7,83.8,74.2,null,,,,,,,,,,,,,,,,,,,
1903-08-01,246052.996,240450.119,,24.6,25.7,,17.5,23.7,,16.3,18.7,22.6,13.7,null,,,,,,,,,,,,,,,,,,,
1903-09-01,424129.035,425473.365,,116.5,191.9,,97.2,110.6,,92.5,74,85.2,85.7,null,,,,,,,,,,,,,,,,,,,
1903-10-01,305216.239,303452.627,,68.3,95.3,,59.4,74.8,,39.6,39.8,23.9,49.9,null,,,,,,,,,,,,,,,,,,,
1903-11-01,156472.652,158682.917,,25.6,36.6,,38.9,41.1,,17.8,17.5,7.8,32.2,44.9,,,,,,,,,,,,,,,,,,,
1903-12-01,80641.497,97822.161,,30.6,64.8,,29.7,55.6,,58.9,46,79.2,60.3,27.1,,,,,,,,,,,,,,,,,,,
1904-01-01,189823.26,236930.735,,85.9,139.5,,68.1,65.7,,41.4,47,94.5,50.1,81.3,,,,,,,,,,,,,,,,,,,
1904-02-01,50528.939,,,16.8,66.6,,13.9,41.4,,17.8,15.9,32,20.3,35.8,,,,,,,,,,,,,,,,,,,
1904-03-01,39500.451,,,13.7,25.1,,12.2,25.2,,1.8,0.8,4.3,0,0,,,,,,,,,,,,,,,,,,,
1904-04-01,25002.125,,,24.1,20.6,,17.2,26.9,,22.6,21.6,28.2,16,18,,,,,,,,,,,,,,,,,,,
1904-05-01,39711.706,,,64.4,103.2,,48.8,68.1,,46.5,45.2,43.2,52.9,30.2,,,,,,,,,,,,,,,,,,,
1904-06-01,88108.101,115713.014,,68.8,144.2,,52.2,85.1,,25.4,24.7,29.7,27.7,25.9,,,,,,,,,,,,,,,,,,,
1904-07-01,299960.778,315048.971,,109.4,200.1,,110.2,100.6,,94,99.8,96.3,90.4,69.6,,,,,,,,,,,,,,,,,,,
1904-08-01,235556.875,237649.816,,68.7,130.6,,51.3,51.9,,29,25.8,22.6,17,42.7,,,,,,,,,,,,,,,,,,,
1904-09-01,259252.61,249342.978,,22.3,39.9,,17.1,22.6,,8.4,8.9,20.7,4.6,15.2,,,,,,,,,,,,,,,,,,,
1904-10-01,265326.566,276929.562,,108.7,152.4,,88,96.8,,81.3,58.6,98.7,80,71.9,,,,,,,,,,,,,,,,,,,
1904-11-01,202855.89,221760.268,,49,75.2,,26.7,53.6,,15,9.4,31.4,15.7,22.9,,,,,,,,,,,,,,,,,,,
1904-12-01,47695.073,,,40.4,48.3,,24.2,39.1,,32.5,42,54.1,31,62.7,,,,,,,,,,,,,,,,,,,
1905-01-01,26514.094,,,46.3,76.1,,32.9,70.9,,34.3,43.3,22.8,28.5,17.3,,,,,,,,,,,,,,,,,,,
1905-02-01,11955.297,,,18.8,13.5,,27.5,33.8,,8.9,19.3,28.6,6.3,24.4,,,,,,,,,,,,,,,,,,,
1905-03-01,12443.141,,,13.8,41.6,,32.2,37,,6.1,13.4,23.4,6.3,6.3,,,,,,,,,,,,,,,,,,,
1905-04-01,37180.82,,,58.5,103.8,,52.9,82.3,,77.2,70.4,92.2,66.1,54.1,,,,,,,,,,,,,,,,,,,
