,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
US_Lake_City,0.027560439560439555,0.03507575757575758,0.011935483870967717,0.011436545240893065,0.0035999999999999943,-0.01000000000000004,0.02803069053708441,0.036742424242424215,0.03483333333333334,0.006829268292682933,0.011025641025641023,0.010454545454545456,30.2675,-82.6306
US_Camden,-0.02999999999999997,0.012828571428571415,-0.003963585434173666,-0.007058823529411764,0.025200000000000014,-0.0021260683760683493,-0.001500000000000007,0.01396470588235295,0.024999999999999994,0.01596875000000001,-0.022499999999999992,-0.0156810035842294,33.6139,-92.8531
US_Hillsboro,-0.02529411764705886,0.0063204005006257825,-0.022957074721780605,-0.023700607902735562,0.012631578947368433,0.0021212121212121162,-0.011627906976744186,0.0061111111111111106,0.016799999999999995,0.0031428571428571395,-0.00347495527728086,-0.005862068965517239,32.0728,-97.0931
US_Phoenix_Area,0.0019971537001897536,-0.003,0.0006618357487922686,-0.0016666666666666666,-0.00022949002217294908,0.0,0.0010101867572156202,0.00010869565217391314,-0.002873015873015872,0.0008131868131868135,3.7500000000000003e-05,-0.0016858108108108094,33.6194,-110.9208
US_Marshall,-0.004090909090909084,0.021333333333333322,0.014999999999999977,0.0057142857142857195,-0.009999999999999998,0.006999999999999998,0.002499999999999969,0.013947368421052615,0.008792270531400961,0.01557565789473684,0.017285012285012287,0.016576576576576588,35.8136,-82.6864
US_Subiaco,-0.029615384615384613,0.009750000000000003,-0.010826254826254829,-0.006023255813953467,0.02666666666666667,0.007913043478260877,0.015384615384615398,0.022,-0.0018518518518518782,-0.024285714285714275,-0.017606951871657752,0.003907317073170739,35.3233,-93.6356
US_Hobart_Municipal_AP,-0.008095238095238091,-0.0006666666666666673,-0.011923076923076925,-0.03845238095238096,0.008235294117647066,-0.014999999999999977,0.0017879325643300804,-0.0038461538461538494,-0.008536585365853657,-0.028918918918918915,-0.012666666666666663,0.0,35.0417,-99.0894
US_Tucumcari_4_NE_,0.0008333333333333333,0.0025,-0.002272727272727272,-0.0036363636363636394,-0.03079999999999999,-0.022712418300653597,0.021199999999999993,-0.0025806451612903247,-0.0018311036789297624,-0.008222222222222223,-0.0010256410256410256,0.0,35.2281,-103.7394
US_Death_Valley_National_Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428572e-05,0.0,36.5383,-117.0936
US_Hopewell,-0.014999999999999977,0.014037037037037039,0.0,-0.012111111111111166,-0.0011124401913875535,-0.020678160919540226,0.0025641025641025663,0.004499999999999993,0.0047368421052631565,0.022413793103448272,0.01805642633228841,0.01043560606060606,37.3364,-77.2842
US_Neosho,-0.02035151515151515,0.005515873015873012,-0.008000000000000007,-0.01166666666666666,-0.018242424242424244,-0.026428571428571437,-0.029411764705882353,-0.006761904761904764,-0.00986486486486485,-0.03315824468085106,-0.038304597701149426,0.0013899613899613936,36.8681,-94.3681
US_Las_Animas,0.0028659370725034198,0.0,0.0,-0.0074404761904761935,0.006666666666666672,-0.004760869565217391,0.005217391304347828,0.012222222222222221,0.005789473684210526,0.0037042682926829258,0.0010344827586206901,-5.555555555555556e-05,38.1406,-103.2272
US_Blanding,0.0006250000000000006,-0.015000000000000006,-0.007999999999999997,-0.0006250000000000006,-0.006542119565217391,0.0,-0.00436698717948718,0.0033333333333333158,-0.007941176470588236,-0.0011145510835913314,-0.003117408906882591,-0.0014907407407407421,37.6644,-109.4794
US_Yosemite_National_Park_Area,0.04999999999999992,-0.05437500000000001,0.00714285714285715,-0.025666666666666654,-0.002941176470588238,-0.00538157894736842,0.0,0.0,0.002142857142857143,-0.011574074074074077,0.04700000000000001,0.01863636363636362,37.7169,-119.6653
US_Saluda,0.01809523809523809,0.005988142292490119,0.0134328968903437,0.013076923076923071,0.011376262626262628,0.0008992248062015512,0.006551724137931033,0.027228260869565223,0.0024264705882353016,0.0038421052631578967,0.007199999999999997,-0.008583583583583576,34.0542,-81.775
US_Clarksdale,-0.03256944444444444,0.02500000000000006,-0.040000000000000036,0.01533333333333335,-0.011763565891472852,-0.02214869281045752,0.0062500000000000056,0.006291208791208797,0.024371464487743556,-0.020166666666666673,-0.027149122807017555,0.0012500000000000289,34.3017,-90.5644
US_Portales,1.6129032258064517e-05,0.0016666666666666668,-0.0021428571428571447,-0.006875000000000006,-0.016761904761904776,0.009729729729729734,0.000666666666666682,-0.01673809523809524,-0.014000000000000002,-0.005434782608695652,0.0,0.0021240601503759405,34.2308,-103.3375
US_Springerville,-0.001392857142857143,-0.005950462962962963,-0.00254010695187166,-0.008193473193473194,-0.007058823529411771,-0.00022222222222222223,-0.010000000000000009,-0.014182692307692342,0.0010990338164251206,0.011052631578947368,-0.001666666666666668,-0.0014479166666666661,34.1331,-109.1331
US_Ojai,0.02692307692307693,-0.014142857142857145,-0.016000000000000004,0.009166666666666675,0.0,0.0,0.0,0.0,0.0,-0.0017914438502673797,0.030972222222222224,-0.0017094017094016853,34.4503,-119.2439
